metric,bucket,bucket_label,bucket_min,bucket_max,threshold,sample_count,arrival_rate
range_pct_5m,16,Q16,0.0018120998,0.0018974572,0.54,268,0.947761
range_pct_5m,16,Q16,0.0018120998,0.0018974572,0.55,268,0.936567
range_pct_5m,16,Q16,0.0018120998,0.0018974572,0.56,268,0.899254
range_pct_5m,16,Q16,0.0018120998,0.0018974572,0.57,268,0.891791
range_pct_5m,16,Q16,0.0018120998,0.0018974572,0.58,268,0.873134
range_pct_5m,17,Q17,0.0018989188,0.0020064891,0.52,269,0.951673
range_pct_5m,17,Q17,0.0018989188,0.0020064891,0.53,269,0.933086
range_pct_5m,17,Q17,0.0018989188,0.0020064891,0.54,269,0.918216
range_pct_5m,17,Q17,0.0018989188,0.0020064891,0.55,269,0.899628
range_pct_5m,17,Q17,0.0018989188,0.0020064891,0.56,269,0.881041
range_pct_5m,17,Q17,0.0018989188,0.0020064891,0.57,269,0.866171
range_pct_5m,17,Q17,0.0018989188,0.0020064891,0.58,269,0.858736
range_pct_5m,18,Q18,0.0020067762,0.0021159359,0.52,269,0.955390
range_pct_5m,18,Q18,0.0020067762,0.0021159359,0.53,269,0.929368
range_pct_5m,18,Q18,0.0020067762,0.0021159359,0.54,269,0.910781
range_pct_5m,18,Q18,0.0020067762,0.0021159359,0.55,269,0.884758
range_pct_5m,18,Q18,0.0020067762,0.0021159359,0.56,269,0.877323
range_pct_5m,18,Q18,0.0020067762,0.0021159359,0.57,269,0.862454
range_pct_5m,18,Q18,0.0020067762,0.0021159359,0.58,269,0.855019
range_pct_5m,19,Q19,0.0021159619,0.0022344786,0.52,268,0.955224
range_pct_5m,19,Q19,0.0021159619,0.0022344786,0.53,268,0.936567
range_pct_5m,19,Q19,0.0021159619,0.0022344786,0.54,268,0.925373
range_pct_5m,19,Q19,0.0021159619,0.0022344786,0.55,268,0.914179
range_pct_5m,19,Q19,0.0021159619,0.0022344786,0.56,268,0.891791
range_pct_5m,19,Q19,0.0021159619,0.0022344786,0.57,268,0.876866
range_pct_5m,19,Q19,0.0021159619,0.0022344786,0.58,268,0.858209
range_pct_5m,20,Q20,0.0022346065,0.0023805906,0.52,269,0.947955
range_pct_5m,20,Q20,0.0022346065,0.0023805906,0.53,269,0.933086
range_pct_5m,20,Q20,0.0022346065,0.0023805906,0.54,269,0.929368
range_pct_5m,20,Q20,0.0022346065,0.0023805906,0.55,269,0.925651
range_pct_5m,20,Q20,0.0022346065,0.0023805906,0.56,269,0.899628
range_pct_5m,20,Q20,0.0022346065,0.0023805906,0.57,269,0.888476
range_pct_5m,20,Q20,0.0022346065,0.0023805906,0.58,269,0.881041
range_pct_5m,21,Q21,0.0023809275,0.0025290454,0.52,269,0.966543
range_pct_5m,21,Q21,0.0023809275,0.0025290454,0.53,269,0.944238
range_pct_5m,21,Q21,0.0023809275,0.0025290454,0.54,269,0.914498
range_pct_5m,21,Q21,0.0023809275,0.0025290454,0.55,269,0.895911
range_pct_5m,21,Q21,0.0023809275,0.0025290454,0.56,269,0.866171
range_pct_5m,21,Q21,0.0023809275,0.0025290454,0.57,269,0.855019
range_pct_5m,21,Q21,0.0023809275,0.0025290454,0.58,269,0.836431
range_pct_5m,22,Q22,0.0025298122,0.0026854371,0.52,268,0.955224
range_pct_5m,22,Q22,0.0025298122,0.0026854371,0.53,268,0.936567
range_pct_5m,22,Q22,0.0025298122,0.0026854371,0.54,268,0.914179
range_pct_5m,22,Q22,0.0025298122,0.0026854371,0.55,268,0.895522
range_pct_5m,22,Q22,0.0025298122,0.0026854371,0.56,268,0.873134
range_pct_5m,22,Q22,0.0025298122,0.0026854371,0.57,268,0.865672
range_pct_5m,22,Q22,0.0025298122,0.0026854371,0.58,268,0.861940
range_pct_5m,23,Q23,0.0026854527,0.0028680928,0.52,269,0.962825
range_pct_5m,23,Q23,0.0026854527,0.0028680928,0.53,269,0.955390
range_pct_5m,23,Q23,0.0026854527,0.0028680928,0.54,269,0.933086
range_pct_5m,23,Q23,0.0026854527,0.0028680928,0.55,269,0.910781
range_pct_5m,23,Q23,0.0026854527,0.0028680928,0.56,269,0.892193
range_pct_5m,23,Q23,0.0026854527,0.0028680928,0.57,269,0.877323
range_pct_5m,23,Q23,0.0026854527,0.0028680928,0.58,269,0.862454
range_pct_5m,24,Q24,0.0028684572,0.0030594802,0.52,269,0.959108
range_pct_5m,24,Q24,0.0028684572,0.0030594802,0.53,269,0.944238
range_pct_5m,24,Q24,0.0028684572,0.0030594802,0.54,269,0.925651
range_pct_5m,24,Q24,0.0028684572,0.0030594802,0.55,269,0.877323
range_pct_5m,24,Q24,0.0028684572,0.0030594802,0.56,269,0.869888
range_pct_5m,24,Q24,0.0028684572,0.0030594802,0.57,269,0.843866
range_pct_5m,24,Q24,0.0028684572,0.0030594802,0.58,269,0.832714
